layer,r2_parity,r2_heldout,comp_mean_shift,comp_pct_compressed
0,0.7211538538471156,0.28778741967279814,-7.506520325874945,73.65853658536585
1,0.7160094404080373,0.31638052630339264,-8.576394803800541,77.46341463414635
2,0.7155065083275673,0.24589257920004684,-8.497425449919865,78.63414634146342
3,0.730381617529985,0.2554625776945329,-7.76998002032418,76.78048780487805
4,0.7353182446141117,0.24394992275110505,-7.2443166288570495,74.14634146341463
5,0.7360612498148174,0.22532560227207038,-7.593103701578233,75.60975609756098
6,0.7326686573014544,0.2379127830530962,-8.018860517573604,75.90243902439025
7,0.7330579982312744,0.2382681777436458,-8.073039813315388,76.58536585365853
8,0.7352855588856613,0.24986321657298974,-7.978675220330407,76.97560975609755
9,0.7357277558326705,0.24267864594035635,-7.71460291545646,74.04878048780488
10,0.7366444146058705,0.24477626884105108,-8.166030179350948,75.3170731707317
11,0.7386683657694748,0.24753911731912334,-8.363948907115923,77.46341463414635
12,0.7347383584771776,0.23887662765884063,-7.9502203876355315,75.3170731707317
13,0.7316395568618415,0.2405333439724318,-8.222880507212876,73.46341463414635
14,0.7297198747972562,0.2359565458538573,-7.996548785160227,74.14634146341463
15,0.7267588531847342,0.2372569452246792,-8.816817414623806,76.09756097560975
16,0.7286877782080654,0.24493299361389972,-7.2659033702784654,72.48780487804878
17,0.7318355794660178,0.25081616256196165,-7.838247196082328,75.51219512195122
18,0.7303584555360618,0.24973259287137198,-7.441444754208523,73.65853658536585
19,0.730302677816579,0.24638180774359894,-8.149563486398945,77.17073170731707
20,0.7345533190613343,0.23060016106606776,-8.1613204961143,78.14634146341463
21,0.7327664056113556,0.19317588725637225,-9.280987804094497,78.53658536585365
22,0.728606033969186,0.1300936838962587,-8.682816473045333,76.48780487804878
23,0.7290062926583765,0.0851262708015674,-9.22963618567914,76.48780487804878
24,0.7270360208540658,-0.014914448917251537,-9.764426430564056,79.60975609756098
25,0.7264614640492972,-0.0816901014139008,-10.046235110445746,79.8048780487805
26,0.726414292202674,-0.14169544285633887,-10.499808361306034,81.5609756097561
27,0.7230564830854042,-0.20481765152832512,-10.864595365473786,82.92682926829268
28,0.7196445993256788,0.13111206536778616,-11.245060622177514,84.0
